Zaman damgası,Cinsiyet ,Sınıf,Şube (Zorunlu değil),Öğrenci Numarası (Zorunlu Değil),Aşağıdaki ifadelere ne kadar katılıyorsun? [Q01-Arabalarla (tamir/inceleme gibi) uğraşmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q02-Bulmaca çözmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q03-Tek başıma çalışmakta iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q04-Takım halinde çalışmayı severim.],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q05-Hedef koyan, azimli biriyim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q06-Eşyaları/dosyaları düzenlemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q07-Bir şeyler yapmayı/inşa etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q08-Sanat ve müzik hakkında okumayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q09-Net kurallar ve talimatlar olmasını severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q10-İnsanları ikna etmeyi / etkilemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q11-Deney yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q12-Birine bir şey öğretmeyi/eğitmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q13-İnsanların problemlerini çözmesine yardım etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q14-Hayvanlarla ilgilenmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q15-Bir gün masa başında çalışmak beni rahatsız etmez.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q16-Bir şeyler satmak/önerip satılmasına yardımcı olmak hoşuma gider.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q17-Yazı yazmayı (hikâye/şiir vb.) severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q18-Fen/bilim konularını severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q19-Yeni sorumluluklar almayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q20-İnsanların iyileşmesine/sağlığına yardımcı olmak ilgimi çeker.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q21-Bir şeyin nasıl çalıştığını anlamaya çalışmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q22-Parçaları birleştirip bir şey kurmayı/monte etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q23-Üretken biriyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q24-Detaylara dikkat ederim.],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q25-Yazı yazma, dosyalama, bilgisayarda düzenleme gibi işleri severim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q26-Problemleri/durumları analiz etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q27-Enstrüman çalmayı veya şarkı söylemeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q28-Farklı kültürler hakkında öğrenmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q29-İleride kendi işimi/markamı kurma fikri hoşuma gider.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q30-Yemek yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q31-Tiyatro oyunlarında rol almayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q32-Pratik biriyim (işi yaparak öğrenmeyi severim).],"Aşağıdaki ifadelere ne kadar katılıyorsun? [Q33-Sayılarla, grafiklerle/tablolarla uğraşmayı severim.]",Aşağıdaki ifadelere ne kadar katılıyorsun? [Q34-Konular hakkında tartışmayı/fikir alışverişi yapmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q35-Yaptığım işlerin kaydını tutmada iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q36-Liderlik etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q37-Dışarıda/açık havada çalışmayı severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q38-İleride ofiste çalışmak isterim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q39-Matematikte iyiyim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q40-İnsanlara yardım etmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q41-Resim çizmeyi severim.],Aşağıdaki ifadelere ne kadar katılıyorsun? [Q42-Topluluk önünde konuşma yapmayı severim.],Bir kulüp seçmen gerekse hangisini seçerdin?
25.12.2025 21:15:04,Kız,4,C,443,1 Hiç değil,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,2 Pek değil,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 21:20:43,Erkek,4,,467,1 Hiç değil,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,2 Pek değil,2 Pek değil,2 Pek değil,3 Kararsızım,2 Pek değil,3 Kararsızım,1 Hiç değil,2 Pek değil,3 Kararsızım,2 Pek değil,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,2 Pek değil,3 Kararsızım,3 Kararsızım,2 Pek değil,2 Pek değil,2 Pek değil,4 Evet,1 Hiç değil,4 Evet,2 Pek değil,1 Hiç değil,3 Kararsızım,2 Pek değil,4 Evet,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 21:22:11,Erkek,3,,,2 Pek değil,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,2 Pek değil,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,4 Evet,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 21:22:14,Erkek,3,,,2 Pek değil,2 Pek değil,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,3 Kararsızım,4 Evet,3 Kararsızım,1 Hiç değil,3 Kararsızım,4 Evet,3 Kararsızım,2 Pek değil,3 Kararsızım,4 Evet,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 21:52:26,Erkek,4,,,2 Pek değil,3 Kararsızım,4 Evet,2 Pek değil,1 Hiç değil,2 Pek değil,4 Evet,1 Hiç değil,3 Kararsızım,1 Hiç değil,2 Pek değil,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,1 Hiç değil,5 Kesinlikle Evet,1 Hiç değil,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,3 Kararsızım,S: Gönüllülük/Yardımlaşma Kulübü
25.12.2025 21:55:37,Erkek,2,,,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,C: Kütüphane/Düzen–Arşiv Kulübü (düzen–kayıt)
25.12.2025 21:58:16,Erkek,2,C,,5 Kesinlikle Evet,4 Evet,2 Pek değil,4 Evet,3 Kararsızım,2 Pek değil,5 Kesinlikle Evet,4 Evet,1 Hiç değil,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,3 Kararsızım,4 Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,3 Kararsızım,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 22:25:54,Kız,3,,,1 Hiç değil,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 22:27:30,Kız,1,2/C,,2 Pek değil,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 22:37:18,Kız,2,2/b,581,1 Hiç değil,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,E: Girişimcilik/Okul Meclisi (liderlik–ikna)
25.12.2025 22:50:26,Erkek,2,مختراع,2,4 Evet,4 Evet,3 Kararsızım,4 Evet,1 Hiç değil,1 Hiç değil,4 Evet,2 Pek değil,4 Evet,1 Hiç değil,2 Pek değil,4 Evet,1 Hiç değil,3 Kararsızım,4 Evet,5 Kesinlikle Evet,2 Pek değil,1 Hiç değil,1 Hiç değil,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,2 Pek değil,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,E: Girişimcilik/Okul Meclisi (liderlik–ikna)
25.12.2025 22:58:41,Kız,2,2 /A,,1 Hiç değil,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,1 Hiç değil,2 Pek değil,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 23:09:42,Erkek,1,1b,,1 Hiç değil,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,1 Hiç değil,3 Kararsızım,2 Pek değil,2 Pek değil,3 Kararsızım,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,1 Hiç değil,5 Kesinlikle Evet,3 Kararsızım,4 Evet,1 Hiç değil,2 Pek değil,2 Pek değil,2 Pek değil,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 23:10:20,Kız,2,A,,2 Pek değil,4 Evet,2 Pek değil,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,2 Pek değil,1 Hiç değil,2 Pek değil,4 Evet,2 Pek değil,3 Kararsızım,4 Evet,2 Pek değil,4 Evet,4 Evet,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,1 Hiç değil,4 Evet,4 Evet,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,1 Hiç değil,I: Bilim Deney Kulübü (deney–araştırma)
25.12.2025 23:15:19,Kız,2,A,500,1 Hiç değil,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,A: Müzik/Tiyatro/Görsel Sanatlar
25.12.2025 23:18:30,Kız,2,,,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,C: Kütüphane/Düzen–Arşiv Kulübü (düzen–kayıt)
25.12.2025 23:28:56,Erkek,2,A,236,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
25.12.2025 23:57:55,Kız,4,4/E,560,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,1 Hiç değil,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,C: Kütüphane/Düzen–Arşiv Kulübü (düzen–kayıt)
26.12.2025 08:54:13,Erkek,1,D,,5 Kesinlikle Evet,3 Kararsızım,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,1 Hiç değil,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,2 Pek değil,2 Pek değil,1 Hiç değil,4 Evet,2 Pek değil,3 Kararsızım,4 Evet,3 Kararsızım,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,3 Kararsızım,3 Kararsızım,2 Pek değil,2 Pek değil,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,A: Müzik/Tiyatro/Görsel Sanatlar
26.12.2025 09:58:57,Erkek,2,A,,4 Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,2 Pek değil,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,2 Pek değil,2 Pek değil,2 Pek değil,2 Pek değil,2 Pek değil,2 Pek değil,4 Evet,2 Pek değil,4 Evet,5 Kesinlikle Evet,3 Kararsızım,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,2 Pek değil,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
26.12.2025 11:10:25,Kız,2,A,,1 Hiç değil,5 Kesinlikle Evet,2 Pek değil,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,1 Hiç değil,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,1 Hiç değil,2 Pek değil,3 Kararsızım,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,2 Pek değil,4 Evet,2 Pek değil,1 Hiç değil,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,1 Hiç değil,I: Bilim Deney Kulübü (deney–araştırma)
26.12.2025 14:50:50,Erkek,4,,,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
26.12.2025 18:57:52,Kız,3,,,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,A: Müzik/Tiyatro/Görsel Sanatlar
26.12.2025 19:20:34,Erkek,2,,,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,2 Pek değil,4 Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,4 Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,3 Kararsızım,4 Evet,3 Kararsızım,3 Kararsızım,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,3 Kararsızım,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,I: Bilim Deney Kulübü (deney–araştırma)
26.12.2025 19:47:55,Kız,1,C,,3 Kararsızım,2 Pek değil,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,3 Kararsızım,2 Pek değil,2 Pek değil,2 Pek değil,3 Kararsızım,2 Pek değil,3 Kararsızım,3 Kararsızım,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
26.12.2025 19:58:43,Erkek,2,A,275,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,2 Pek değil,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,4 Evet,5 Kesinlikle Evet,4 Evet,A: Müzik/Tiyatro/Görsel Sanatlar
26.12.2025 20:11:00,Erkek,1,B,22,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,4 Evet,4 Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,4 Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,2 Pek değil,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,5 Kesinlikle Evet,5 Kesinlikle Evet,5 Kesinlikle Evet,3 Kararsızım,"R: Robotik/Atölye (yapma–kurma, pratik işler)"
